scorer,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000,DLC_resnet50_mouse_movement_maJan14shuffle1_250000
bodyparts,Eye,Eye,Eye,Snout,Snout,Snout,Whisker,Whisker,Whisker,Right_Forepaw,Right_Forepaw,Right_Forepaw,Left_Forepaw,Left_Forepaw,Left_Forepaw
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
52,330.8977356,28.0558548,0.999993801,432.7449646,72.59864807,0.99996078,357.1495056,112.9327316,0.999991417,239.218338,266.6435242,0.999996066,334.427124,236.0998383,0.999953628
53,331.3234253,28.59604263,0.999993205,433.0410156,71.41347504,0.99996388,356.1428528,113.6634369,0.999991059,239.0884399,266.7796021,0.999996185,334.4057312,236.3085327,0.999952555
54,331.0860596,28.60049438,0.99999404,433.3725281,73.69478607,0.999969363,355.9454346,113.868988,0.999995351,239.2580566,266.5734253,0.999996662,334.3553772,235.9627686,0.999951363
55,330.5934143,28.47766495,0.999993324,434.9150696,74.53887177,0.999984026,354.5870667,114.4605942,0.999995947,238.9682312,266.5481262,0.999995828,334.1538696,236.7892151,0.999949694
56,330.8615417,28.66768074,0.999994278,435.0422668,75.12197113,0.999988317,357.1749878,113.8570938,0.999994874,239.0634613,266.4907837,0.999996185,334.2261353,236.3708801,0.999948859
57,331.0096436,28.28902435,0.999993086,434.6739197,73.04390717,0.999979854,355.7090454,113.8137817,0.999996424,239.051239,266.5893555,0.999996424,334.2371521,236.438446,0.999942899
58,330.5712891,29.74102211,0.999992847,433.637207,70.71379089,0.999975324,355.7918396,111.8360748,0.999988794,239.0143127,266.7411804,0.999995947,334.7473145,236.6051025,0.999961734
59,331.0075684,29.11083984,0.999992609,434.1471863,71.28998566,0.999981999,357.093811,112.8700943,0.99999249,238.9785461,266.3935242,0.999995589,334.5272522,236.9698944,0.99995935
60,330.2291565,28.76507759,0.999991894,434.4407043,73.80609894,0.999981999,355.3604431,113.562439,0.999996781,238.4964447,266.3651733,0.999995589,334.5452881,236.3423004,0.999955416
61,330.1593323,28.66941071,0.999991655,433.3944092,72.87103271,0.999966502,355.9411926,113.84552,0.999996901,238.4957886,266.4354248,0.999995232,334.2119751,236.4388428,0.999942183
62,330.1298523,28.38435745,0.99999249,432.1513367,71.67971039,0.999957085,355.3616638,113.5459137,0.999995947,238.5314941,266.4944763,0.999994278,334.4040222,236.5875702,0.9999547
63,330.8026123,27.87663841,0.999988317,433.8352661,75.12627411,0.999979258,364.6067505,114.1479645,0.999638796,238.6334991,266.7303162,0.999994516,334.7719116,237.0057678,0.999955773
64,331.4530945,27.84849548,0.999989629,434.8424988,77.83855438,0.999974489,371.6217041,114.6824265,0.997860014,241.6008759,265.6188049,0.99999702,343.7710571,229.2019348,0.999970198
65,331.3768921,27.55584335,0.999991059,434.1893311,73.92318726,0.999973178,347.3299866,97.18608093,0.977002382,241.6303711,264.631958,0.999991775,346.1621399,223.3017273,0.99991858
66,331.3363037,28.03730965,0.999991417,432.6321106,76.52909851,0.999938011,343.8181763,110.1106262,0.999391437,238.8879242,265.972229,0.999972224,336.6226196,226.3196106,0.999917746
67,331.6545715,28.71237183,0.999992371,431.5036011,75.60151672,0.999885678,350.6499939,115.3819046,0.99980849,234.5662537,269.784668,0.999963164,324.9640198,225.9505768,0.999979019
68,331.9362488,28.59602737,0.999992967,431.7025146,77.47467041,0.999911785,349.575531,114.6866913,0.999871492,233.4927063,269.3168945,0.999988437,320.1072083,229.4806519,0.999974012
69,331.0750427,27.90513992,0.999990582,432.7319641,76.96313477,0.999958634,343.838562,102.4009705,0.999778211,234.0466461,269.0276184,0.99998641,318.8035278,229.431015,0.999988198
70,331.8396606,29.37910843,0.999992371,430.2792664,76.26332855,0.999878168,363.4569092,98.60923767,0.999959826,234.062439,268.9732666,0.999988675,319.2587585,229.1411285,0.999989629
71,331.3871155,28.30749321,0.999990106,431.830719,75.30767059,0.999788582,363.2845154,107.4322968,0.999920487,233.6519623,266.849823,0.999972343,319.0041504,229.2642212,0.999986053
72,331.7758179,29.28417587,0.999992728,431.3856812,74.6807785,0.999933362,358.4630432,98.46936798,0.999942064,234.3721924,266.1585083,0.99994719,318.9990845,230.8686523,0.999978065
73,331.163269,28.47423935,0.999991775,429.5335083,75.05641937,0.999896765,341.2790833,95.94753265,0.988705575,235.9118958,265.6870728,0.999961734,319.1192627,231.5486908,0.999974489
74,331.4719849,28.99777985,0.999990582,431.3251343,74.0743866,0.999765933,363.1208801,111.7576141,0.999967337,236.0167542,265.7377625,0.999964356,319.6713867,231.4626312,0.999977469
75,331.8735962,30.1938858,0.999993086,431.7183228,74.88762665,0.999872208,372.6243591,106.3659286,0.995794892,238.7549896,266.7198181,0.999961615,319.9435425,231.9320984,0.999963164
76,331.3824463,29.446455,0.999992251,429.2245483,73.942276,0.999832034,368.5194702,103.9552917,0.999394774,238.701416,266.7891541,0.999962568,320.3069763,231.8769684,0.999965429
